Global Land and Ocean Temperature Anomalies, May
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1850,-0.20
1851,-0.09
1852,0.00
1853,-0.12
1854,-0.08
1855,-0.13
1856,-0.12
1857,-0.34
1858,-0.21
1859,-0.09
1860,-0.15
1861,-0.24
1862,-0.34
1863,-0.11
1864,-0.12
1865,-0.16
1866,-0.17
1867,-0.26
1868,0.00
1869,-0.11
1870,-0.10
1871,-0.12
1872,-0.16
1873,-0.29
1874,-0.29
1875,-0.09
1876,-0.34
1877,-0.03
1878,0.05
1879,-0.04
1880,-0.06
1881,0.00
1882,-0.18
1883,-0.16
1884,-0.31
1885,-0.40
1886,-0.21
1887,-0.26
1888,-0.15
1889,0.02
1890,-0.26
1891,-0.10
1892,-0.16
1893,-0.31
1894,-0.20
1895,-0.18
1896,-0.06
1897,0.10
1898,-0.20
1899,-0.18
1900,-0.05
1901,-0.08
1902,-0.27
1903,-0.33
1904,-0.45
1905,-0.24
1906,-0.20
1907,-0.38
1908,-0.34
1909,-0.48
1910,-0.30
1911,-0.46
1912,-0.18
1913,-0.40
1914,-0.19
1915,0.00
1916,-0.25
1917,-0.52
1918,-0.39
1919,-0.22
1920,-0.25
1921,-0.21
1922,-0.27
1923,-0.27
1924,-0.10
1925,-0.24
1926,-0.16
1927,-0.20
1928,-0.17
1929,-0.31
1930,-0.16
1931,-0.13
1932,-0.14
1933,-0.24
1934,-0.07
1935,-0.23
1936,-0.07
1937,-0.01
1938,-0.03
1939,-0.01
1940,0.16
1941,0.21
1942,0.15
1943,0.13
1944,0.24
1945,0.12
1946,-0.02
1947,0.02
1948,0.05
1949,-0.04
1950,-0.02
1951,0.04
1952,0.08
1953,0.20
1954,-0.12
1955,-0.16
1956,-0.27
1957,0.05
1958,0.10
1959,0.04
1960,-0.05
1961,0.04
1962,0.01
1963,-0.02
1964,-0.15
1965,-0.20
1966,-0.11
1967,0.21
1968,-0.17
1969,0.18
1970,0.05
1971,-0.03
1972,0.00
1973,0.24
1974,-0.02
1975,0.08
1976,-0.12
1977,0.28
1978,0.10
1979,0.17
1980,0.38
1981,0.31
1982,0.17
1983,0.28
1984,0.31
1985,0.22
1986,0.35
1987,0.33
1988,0.48
1989,0.24
1990,0.50
1991,0.43
1992,0.37
1993,0.31
1994,0.32
1995,0.32
1996,0.34
1997,0.41
1998,0.69
1999,0.33
2000,0.38
2001,0.58
2002,0.66
2003,0.63
2004,0.42
2005,0.70
2006,0.52
2007,0.65
2008,0.52
2009,0.62
2010,0.78
2011,0.55
2012,0.75
2013,0.66
2014,0.87
2015,0.82
2016,0.99
2017,0.90
2018,0.81
2019,0.90
2020,0.99
2021,0.80
2022,0.86
2023,0.97
